evidence_id,series_id,study,model,task,metric,context_tokens,score,score_unit,sample_size,sample_unit,evidence_status,numeric_precision,source_location,source_url,derivation,uncertainty,limitations,target_model_scope,anchor_eligible,reference_evidence_id,reference_context_tokens,reference_score,retention,curve_order
chroma-gpt41-discordant-focused-only,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,,87,count,306,prompt pairs,independently-derived,exact,Frozen paired evaluated CSVs at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/tree/af80a08018f2b7257c0336d04bcd02f936088106/results,Paired by custom_id and counted exact judge-label discordances.,Not applicable,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified.,historical-proxy-not-gpt-5.6-calibration,false,,,,,1
chroma-gpt41-discordant-full-only,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,full correct and focused incorrect discordant count,,11,count,306,prompt pairs,independently-derived,exact,Frozen paired evaluated CSVs at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/tree/af80a08018f2b7257c0336d04bcd02f936088106/results,Paired by custom_id and counted exact judge-label discordances.,Not applicable,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified.,historical-proxy-not-gpt-5.6-calibration,false,,,,,2
chroma-gpt41-mcnemar,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,two-sided exact McNemar p-value,,8.065e-16,p_value,98,discordant prompt pairs,independently-derived,rounded,Frozen paired evaluated CSVs at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/tree/af80a08018f2b7257c0336d04bcd02f936088106/results,Two-sided exact binomial McNemar test from discordants 87 and 11.,Exact-test p-value reported to four significant digits,A small p-value does not estimate operational effect size or transfer to a different model and task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,3
chroma-gpt41-paired-bootstrap,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused minus full accuracy paired bootstrap estimate,,0.248366013071895,proportion,306,prompt pairs,independently-derived,exact,Frozen paired evaluated CSVs at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/tree/af80a08018f2b7257c0336d04bcd02f936088106/results,Paired nonparametric bootstrap over prompt IDs; 100000 resamples; seed 20260904.,95 percent percentile interval 0.192810 to 0.303922,Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6.,historical-proxy-not-gpt-5.6-calibration,false,,,,,4
chroma-gpt41-paired-difference,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused minus full accuracy,,0.248366013071895,proportion,306,prompt pairs,independently-derived,exact,Frozen paired evaluated CSVs at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/tree/af80a08018f2b7257c0336d04bcd02f936088106/results,(267-191)/306 = 76/306.,Paired bootstrap 95 percent interval 0.192810 to 0.303922,Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.,historical-proxy-not-gpt-5.6-calibration,false,,,,,5
chroma-gpt41-focused,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,268.617647058824,0.872549019607843,proportion,306,paired prompts,independently-derived,exact,Frozen evaluated CSV at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/blob/af80a08018f2b7257c0336d04bcd02f936088106/results/gpt_4_1_longmemeval_focused_evaluated.csv,267 correct of 306; mean token count 82197/306; recomputed from the committed row-level file.,No source-reported interval,Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length.,historical-proxy-not-gpt-5.6-calibration,true,chroma-gpt41-focused,268.617647058824,0.872549019607843,1,1
chroma-gpt41-full,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,112672.843137255,0.624183006535948,proportion,306,paired prompts,independently-derived,exact,Frozen evaluated CSV at commit af80a08018f2b7257c0336d04bcd02f936088106,https://github.com/chroma-core/context-rot/blob/af80a08018f2b7257c0336d04bcd02f936088106/results/gpt_4_1_longmemeval_full_evaluated.csv,191 correct of 306; mean token count 34477890/306; recomputed from the committed row-level file.,No source-reported interval,Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.,historical-proxy-not-gpt-5.6-calibration,true,chroma-gpt41-focused,268.617647058824,0.872549019607843,0.715355805243446,2
lostmiddle-gpt35-closed-book,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,,0.561,proportion,2655,questions,source-reported,rounded,Table 1 and Section 4.1,https://aclanthology.org/2024.tacl-1.9/,Transcribed from 56.1 percent and divided by 100.,No confidence interval or standard error reported,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy.,historical-proxy-not-gpt-5.6-calibration,false,,,,,1
lostmiddle-gpt35-drop-bound,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,best-to-worst accuracy drop lower bound,,0.20,proportion,2655,questions,source-reported,inequality,Section 4.1 prose,https://aclanthology.org/2024.tacl-1.9/,Paper states performance can degrade by more than 20 percent.,No confidence interval or standard error reported,The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope.,historical-proxy-not-gpt-5.6-calibration,false,,,,,2
lostmiddle-gpt35-oracle,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,oracle single-document accuracy,,0.883,proportion,2655,questions,source-reported,rounded,Table 1 and Section 4.1,https://aclanthology.org/2024.tacl-1.9/,Transcribed from 88.3 percent and divided by 100.,No confidence interval or standard error reported,Oracle supplies only the gold document; it is not a long-context point; historical model and QA task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,3
