evidence_onset_id,series_id,study,model,task,metric,retention_threshold,threshold_status,interpolated_context_tokens,lower_evidence_id,upper_evidence_id,lower_context_tokens,upper_context_tokens,lower_retention,upper_retention,interpolation_scale,anchor_count,target_model_scope,limitations
chroma-gpt41-longmemeval-paired-retention-95pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.95,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-paired-retention-90pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.9,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-paired-retention-85pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.85,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-paired-retention-80pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.8,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-paired-retention-70pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.7,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-paired-retention-50pct,chroma-gpt41-longmemeval-paired,Chroma Context Rot LongMemEval,GPT-4.1,paired focused versus full conversational QA,focused correct and full incorrect discordant count,0.5,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Judge outcomes are paired but not independent model replications; no transfer to coding-agent task quality is identified. | A small p-value does not estimate operational effect size or transfer to a different model and task. | Interval quantifies finite-sample prompt variation under this dataset and judge; it does not quantify transfer uncertainty to Pi or GPT-5.6. | Condition contrast combines length and retrieval or distractor burden; it is not a pure token-length causal slope.
chroma-gpt41-longmemeval-reanalysis-retention-95pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.95,interpolated,775.942993206874,chroma-gpt41-focused,chroma-gpt41-full,268.617647058824,112672.843137255,1,0.715355805243446,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
chroma-gpt41-longmemeval-reanalysis-retention-90pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.9,interpolated,2241.42953859987,chroma-gpt41-focused,chroma-gpt41-full,268.617647058824,112672.843137255,1,0.715355805243446,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
chroma-gpt41-longmemeval-reanalysis-retention-85pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.85,interpolated,6474.71066881399,chroma-gpt41-focused,chroma-gpt41-full,268.617647058824,112672.843137255,1,0.715355805243446,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
chroma-gpt41-longmemeval-reanalysis-retention-80pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.8,interpolated,18703.1880872957,chroma-gpt41-focused,chroma-gpt41-full,268.617647058824,112672.843137255,1,0.715355805243446,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
